Xi0_hMpc2,chi2_log,dof,chi2_dof,delta_chi2_vs_best,delta_chi2_vs_zero
3.385948632985606e-05,3535.603964625267,450,7.85689769916726,2233.377154798567,-1649.053177167954
3.6445493527765524e-05,3428.267046104945,450,7.618371213566545,2126.040236278245,-1756.3900956882758
3.9229006179906874e-05,3315.6833627181713,450,7.368185250484825,2013.4565528914713,-1868.9737790750496
4.222510870077182e-05,3197.9201803541528,450,7.106489289675895,1895.6933705274528,-1986.7369614390682
4.5450037572076696e-05,3075.124116647353,450,6.833609148105229,1772.8973068206528,-2109.533025145868
4.892126933152028e-05,2947.53897053116,450,6.550086601180356,1645.31216070446,-2237.118171262061
5.265761528165439e-05,2815.52677988887,450,6.256726177530822,1513.29997006217,-2369.130361904351
5.6679323432112456e-05,2679.592649820558,450,5.954650332934573,1377.3658399938581,-2505.064491972663
6.100818822764346e-05,2540.413982415197,450,5.645364405367105,1238.187172588497,-2644.243159378024
6.566766865658864e-05,2398.8748414809693,450,5.330832981068821,1096.6480316542693,-2785.7823003122517
7.06830153798534e-05,2256.10630470701,450,5.013569566015578,953.8794948803102,-2928.550837086211
7.608140756931394e-05,2113.5337938314583,450,4.696741764069907,811.3069840047583,-3071.1233479617626
8.189210019721258e-05,1972.932533615469,450,4.384294519145487,670.7057237887691,-3211.724608177752
8.814658257473112e-05,1836.492476296073,450,4.081094391769051,534.265666469373,-3348.1646654971482
9.487874899889745e-05,1706.8942437978872,450,3.7930983195508605,404.66743397118717,-3477.762897995334
0.0001021250824325928,1587.3978900602344,450,3.527550866800521,285.17108023353444,-3597.2592517329867
0.00010992485221306085,1481.9465758689735,450,3.293214613042163,179.71976604227348,-3702.7105659242475
0.00011832032686033728,1395.2875849310465,450,3.100639077624548,93.06077510434648,-3789.3695568621742
0.00012735700313885553,1333.1134999633807,450,2.9624744443630684,30.886690136680727,-3851.5436418298405
0.00013708385261355807,1302.2268098267,450,2.8938373551704446,0.0,-3882.430331966521
0.00014755358703664754,1310.7317431150022,450,2.9127372069222273,8.504933288302254,-3873.9253986782187
0.00015882294400316658,1368.2577315807578,450,3.040572736846128,66.03092175405777,-3816.3994102124634
0.00017095299442342957,1486.2196116232867,450,3.3027102480517483,183.99280179658672,-3698.4375301699342
0.0001840094734785578,1678.1204891915204,450,3.729156642647823,375.8936793648204,-3506.5366526017006
0.00019806313685263798,1959.9041406960882,450,4.355342534880196,657.6773308693882,-3224.7530010971327
0.00021319014417199637,2350.3649205650386,450,5.223033156811197,1048.1381107383386,-2834.2922212281824
0.0002294724717295179,2871.624418870146,450,6.381387597489214,1569.3976090434462,-2313.0327229230747
0.00024699835673065436,3549.6855877577727,450,7.888190195017272,2247.4587779310727,-1634.9715540354482
0.00026586277546857375,4415.0767654050715,450,9.811281700900158,3112.8499555783715,-769.5803763881495
0.0002861679580197835,5503.6000081615075,450,12.230222240358906,4201.373198334808,318.94286636828656
0.00030802394224945797,6857.20043861182,450,15.238223196915154,5554.973628785119,1672.5432968185987
0.0003315491701287467,8524.9759795513,450,18.944391065669556,7222.7491697246005,3340.318837758079
